TIME_PERIOD,geo,energy
2015,LU,4.73E+05
2015,LV,4.04E+05
2015,MT,1.77E+05
2015,NL,5.10E+06
2015,PL,4.22E+06
2015,PT,8.91E+05
2015,RO,1.46E+06
2015,SE,1.65E+06
2015,SI,4.04E+05
2015,SK,1.98E+06
2015,GB,1.05E+07
2015,US,1.08E+08
2015,JP,1.62E+07
2015,CN,1.19E+08
2015,CA,1.22E+07
2015,KR,9.68E+06
2015,BR,1.27E+07
2015,IN,3.79E+07
2015,MX,5.73E+06
2015,RU,1.39E+07
2015,AU,1.19E+07
2015,CH,1.65E+06
2015,TR,5.76E+06
2015,TW,3.23E+06
2015,NO,2.76E+06
2015,ID,9.54E+06
2015,ZA,2.87E+06
2015,WA,3.63E+07
2015,WL,2.37E+07
2015,WE,8.46E+06
2015,WF,3.07E+07
2015,WM,2.70E+07
2016,AT,1.09E+06
2016,BE,2.75E+06
2016,BG,8.33E+05
2016,CY,1.17E+05
2016,CZ,1.57E+06
2016,DE,1.13E+07
2016,DK,8.61E+05
2016,EE,3.14E+05
2016,ES,3.58E+06
2016,FI,9.59E+05
2016,FR,6.65E+06
2016,GR,1.24E+06
2016,HR,2.95E+05
2016,HU,9.97E+05
2016,IE,9.13E+05
2016,IT,9.18E+06
2016,LT,2.98E+05
2016,LU,3.28E+05
2016,LV,2.45E+05
2016,MT,1.28E+05
2016,NL,3.84E+06
2016,PL,3.58E+06
2016,PT,7.63E+05
2016,RO,1.42E+06
2016,SE,1.50E+06
2016,SI,3.05E+05
2016,SK,1.44E+06
2016,GB,7.75E+06
2016,US,9.25E+07
2016,JP,1.49E+07
2016,CN,1.15E+08
2016,CA,1.22E+07
2016,KR,8.24E+06
2016,BR,9.65E+06
2016,IN,3.89E+07
2016,MX,4.86E+06
2016,RU,1.42E+07
2016,AU,1.36E+07
